run	metric	query	value
summaryOnly	num_ret               	1	1000
summaryOnly	P_100                 	3	0.09
summaryOnly	P_200                 	3	0.055
summaryOnly	P_500                 	3	0.034
summaryOnly	P_1000                	3	0.024
summaryOnly	num_ret               	30	1000
summaryOnly	num_rel               	30	40
summaryOnly	num_rel_ret           	30	16
summaryOnly	map                   	30	0.1073
summaryOnly	Rprec                 	30	0.125
summaryOnly	bpref                 	30	0.1175
summaryOnly	recip_rank            	30	1
summaryOnly	iprec_at_recall_0.00  	30	1
summaryOnly	iprec_at_recall_0.10  	30	0.3571
summaryOnly	iprec_at_recall_0.20  	30	0.127
summaryOnly	iprec_at_recall_0.30  	30	0.0281
summaryOnly	iprec_at_recall_0.40  	30	0.0173
summaryOnly	iprec_at_recall_0.50  	30	0
summaryOnly	iprec_at_recall_0.60  	30	0
summaryOnly	iprec_at_recall_0.70  	30	0
